ESP 30:ae:a4:3b:a2:d8 -> MAC: a2:77:c4:0c:29:83 | SSID: broadcast | RSSI: -92 | Seq.num: 2784 | Timestamp: 1543478074794 | Hash: 1192925609
ESP 30:ae:a4:3b:a2:d8 -> MAC: e4:a7:a0:6b:ce:4d | SSID: broadcast | RSSI: -94 | Seq.num: 363 | Timestamp: 1543478074976 | Hash: 3307956965
ESP 30:ae:a4:3b:a2:d8 -> MAC: be:3d:21:57:f8:7f | SSID: broadcast | RSSI: -88 | Seq.num: 945 | Timestamp: 1543478076608 | Hash: 1040702233
ESP 30:ae:a4:3b:a2:d8 -> MAC: be:3d:21:57:f8:7f | SSID: broadcast | RSSI: -90 | Seq.num: 946 | Timestamp: 1543478076639 | Hash: 1977614481
ESP 30:ae:a4:3b:a2:d8 -> MAC: 24:18:1d:e3:6d:c3 | SSID: eduroam | RSSI: -68 | Seq.num: 2682 | Timestamp: 1543478076741 | Hash: 3386420101
ESP 30:ae:a4:3b:a2:d8 -> MAC: 24:18:1d:e3:6d:c3 | SSID: eduroam | RSSI: -72 | Seq.num: 2683 | Timestamp: 1543478076781 | Hash: 2791548086
ESP 30:ae:a4:3b:a2:d8 -> MAC: da:a1:19:c6:db:32 | SSID: ESP_0 | RSSI: -88 | Seq.num: 1181 | Timestamp: 1543478078358 | Hash: 2256200949
ESP 30:ae:a4:3b:a2:d8 -> MAC: da:a1:19:c6:db:32 | SSID: Vodafone-34478617 | RSSI: -88 | Seq.num: 1182 | Timestamp: 1543478078362 | Hash: 547000629
ESP 30:ae:a4:3b:a2:d8 -> MAC: da:a1:19:c6:db:32 | SSID: TIM-19524417 | RSSI: -88 | Seq.num: 1183 | Timestamp: 1543478078378 | Hash: 3911623747
ESP 30:ae:a4:3b:a2:d8 -> MAC: da:a1:19:c6:db:32 | SSID: FASTWEB-B2C533 | RSSI: -87 | Seq.num: 1184 | Timestamp: 1543478078394 | Hash: 4142294185
ESP 30:ae:a4:3b:a2:d8 -> MAC: da:a1:19:c6:db:32 | SSID: weeeopen | RSSI: -89 | Seq.num: 1185 | Timestamp: 1543478078410 | Hash: 1502341907
