timestamp	x_detected	y_detected	inside	x_real	y_real	dimensionality	error_regress	error_interp
1544353835015	1.268348	-0.06729636	1	2.4	0	2.363784	1.133651	1.58098
1544353840770	1.302398	0.007604174	1	2.4	0	2.363784	1.097628	1.475102
1544353846562	1.302398	0.007604174	1	2.4	0	2.363784	1.097628	1.475102
1544353852365	1.406018	-0.03836123	1	2.4	0	2.363784	0.994722	1.366477
1544353858113	1.302398	0.007604174	1	2.4	0	2.363784	1.097628	1.475102
1544353997520	1.248762	-0.3872386	1	2.4	0	2.363784	1.214620	1.599089
1544354020702	1.146280	-0.5939821	1	2.4	0	2.363784	1.387310	1.712927
1544354038111	1.221087	-0.4555044	1	2.4	0	2.363784	1.263851	1.639668
1544354038142	1.221087	-0.4555044	1	2.4	0	2.363784	1.263851	1.639668
1544354478364	1.499244	-0.7115293	1	2.4	0	2.363784	1.147883	1.36588
1544354484186	1.499244	-0.7115293	1	2.4	0	2.363784	1.147883	1.36588
1544354489924	1.185120	-0.767696	1	2.4	0	2.363784	1.437112	1.76629
1544354495689	1.458584	-0.7755165	1	2.4	0	2.363784	1.219709	1.468225
1544354495715	1.295898	-0.7984835	1	2.4	0	2.363784	1.362577	1.693376
1544354501488	1.337919	-0.7358402	1	2.4	0	2.363784	1.292082	1.656677
1544354507205	1.130454	-0.5929195	1	2.4	0	2.363784	1.401178	1.681884
1544354507231	0.9424401	-0.6350745	1	2.4	0	2.363784	1.589906	1.745357
1544354513207	1.159213	-0.5244982	1	2.4	0	2.363784	1.347089	1.632575
1544354513233	1.108871	-0.5920201	1	2.4	0	2.363784	1.420388	1.654496
1544354518968	1.248841	-0.62825	1	2.4	0	2.363784	1.311437	1.638742
1544354524735	1.248841	-0.62825	1	2.4	0	2.363784	1.311437	1.638742
1544354530519	1.366905	-0.6654914	1	2.4	0	2.363784	1.228887	1.592723
1544354530545	0.9734423	-0.5658467	1	2.4	0	2.363784	1.534682	1.696845
1544354536283	1.130454	-0.5929195	1	2.4	0	2.363784	1.401178	1.681884
1544354605765	0.8727506	-0.2845931	1	2.4	0	2.363784	1.553539	1.705554
1544354611569	1.065495	-0.4232233	1	2.4	0	2.363784	1.400008	1.633481
1544354617323	0.9315587	-0.3952671	1	2.4	0	2.363784	1.520709	1.671519
1544354623143	1.065495	-0.4232233	1	2.4	0	2.363784	1.400008	1.633481
1544354628914	1.118561	-0.3516252	1	2.4	0	2.363784	1.328806	1.624544
1544354634743	1.065495	-0.4232233	1	2.4	0	2.363784	1.400008	1.633481
1544354640556	0.9315587	-0.3952671	1	2.4	0	2.363784	1.520709	1.671519
1544354646309	0.8727506	-0.2845931	1	2.4	0	2.363784	1.553539	1.705554
1544354652123	0.9031153	-0.4663111	1	2.4	0	2.363784	1.567836	1.720034
1544354658010	1.002510	-0.3157169	1	2.4	0	2.363784	1.432709	1.664356
1544354843383	1.221087	-0.4555044	1	2.4	0	2.363784	1.263851	1.639668
1544373460675	0.5680264	0.1820129	0	0.5	0	2.047686	0.1943097	0.2638498
1544373460707	0.5680264	0.1820129	0	0.5	0	2.047686	0.1943097	0.2638498
1544373534323	0.7686815	0.6239911	0	0.5	0	2.047686	0.6793781	0.6012023
1544373534355	0.743342	0.6487351	0	0.5	0	2.047686	0.6928727	0.6473389
1544373607725	0.7037042	0.4113058	0	0.5	0	2.047686	0.4589857	0.4447262
1544373607757	0.7377554	0.4436291	0	0.5	0	2.047686	0.5033234	0.491893
1544373683251	0.778684	0.4171605	0	0.5	0	2.047686	0.5016848	0.4363898
1544373683283	0.7037042	0.4113058	0	0.5	0	2.047686	0.4589857	0.4447262
1544373754761	0.5752933	0.7283138	0	0.5	0	2.047686	0.7321953	0.5253774
1544373754793	0.5752933	0.7283138	0	0.5	0	2.047686	0.7321953	0.5253774
1544373830021	0.3150628	0.8460115	0	0.5	0	2.047686	0.8659892	0.5869675
1544373830053	0.3150628	0.8460115	0	0.5	0	2.047686	0.8659892	0.5869675
1544374028564	-0.3474151	-0.3612778	0	0.5	0	2.047686	0.9212133	0.5663172
1544374028590	-0.279	-0.4685559	0	0.5	0	2.047686	0.9090576	0.5485549
1544374157001	-1.27914	-0.5528257	0	0.5	0	2.047686	1.86305	1.407992
1544374157027	-1.27914	-0.5528257	0	0.5	0	2.047686	1.86305	1.407992
1544374192118	0.5896506	-0.1004644	0	0.5	0	2.047686	0.1346489	0.0810254
1544374192145	0.5288297	0.02968626	0	0.5	0	2.047686	0.04138148	0.07655785
1544374197929	0.5300042	0.08811999	0	0.5	0	2.047686	0.09308806	0.1451298
1544374203723	0.491271	-0.06784383	0	0.5	0	2.047686	0.06840307	0.050816
1544374209532	0.5276597	-0.02973814	0	0.5	0	2.047686	0.04061297	0.01999415
1544374215298	0.5276597	-0.02973814	0	0.5	0	2.047686	0.04061297	0.01999415
1544374215324	0.5276597	-0.02973814	0	0.5	0	2.047686	0.04061297	0.01999415
1544374221061	0.5276597	-0.02973814	0	0.5	0	2.047686	0.04061297	0.01999415
1544374226810	0.5276597	-0.02973814	0	0.5	0	2.047686	0.04061297	0.01999415
1544374226836	0.5265012	-0.08997983	0	0.5	0	2.047686	0.0938013	0.07367638
1544374232641	0.5288297	0.02968626	0	0.5	0	2.047686	0.04138148	0.07655785
1544374238400	0.5276597	-0.02973814	0	0.5	0	2.047686	0.04061297	0.01999415
1544374244158	0.4923044	-0.008092254	0	0.5	0	2.047686	0.01116725	0.03674374
1544374250110	0.5300042	0.08811999	0	0.5	0	2.047686	0.09308806	0.1451298
1544374291227	0.4988608	0.3259732	0	0.5	0	2.047686	0.3259752	0.4175315
1544374291253	0.5345974	0.3087953	0	0.5	0	2.047686	0.3107274	0.4000391
1544374314717	0.6197815	0.7228186	0	0.5	0	2.047686	0.7326762	0.6210001
1544374320480	0.6639479	0.8794157	0	0.5	0	2.047686	0.8945674	0.7708024
1544374326610	0.5515037	0.8716382	0	0.5	0	2.047686	0.8731585	0.7098973
1544374332840	0.5515037	0.8716382	0	0.5	0	2.047686	0.8731585	0.7098973
1544374338662	0.6736188	0.7261191	0	0.5	0	2.047686	0.7465872	0.6099628
1544374344444	0.5345974	0.3087953	0	0.5	0	2.047686	0.3107274	0.4000391
1544374350217	0.5515037	0.8716382	0	0.5	0	2.047686	0.8731585	0.7098973
1544374355987	0.6104636	1.022877	0	0.5	0	2.047686	1.028825	0.8743871
1544374361980	0.6125913	0.875017	0	0.5	0	2.047686	0.882231	0.7451745
1544374367907	0.6024893	0.8763121	0	0.5	0	2.047686	0.8822851	0.7320244
1544374373710	0.6736188	0.7261191	0	0.5	0	2.047686	0.7465872	0.6099628
1544374509880	0.4999819	1.012453	0	0.5	0	2.047686	1.012453	0.8141205
1544374509906	0.4999819	1.012453	0	0.5	0	2.047686	1.012453	0.8141205
1544374515894	0.5347525	0.8704203	0	0.5	0	2.047686	0.8711138	0.676581
1544374515920	0.55271	1.017563	0	0.5	0	2.047686	1.018928	0.8315209
1544374533466	0.5945035	0.8759329	0	0.5	0	2.047686	0.8810161	0.7167324
1544374533492	0.4999819	1.012453	0	0.5	0	2.047686	1.012453	0.8141205
1544374545583	0.4999819	1.012453	0	0.5	0	2.047686	1.012453	0.8141205
1544374545609	0.4999819	1.012453	0	0.5	0	2.047686	1.012453	0.8141205
1544374551585	0.4999819	1.012453	0	0.5	0	2.047686	1.012453	0.8141205
1544374827667	-0.4363437	-0.4699809	0	0.5	0	2.047686	1.047674	0.7404949
1544374827694	-0.279	-0.4685559	0	0.5	0	2.047686	0.9090576	0.5485549
1544374845650	-0.3067494	-0.4212834	0	0.5	0	2.047686	0.9101232	0.5429933
1544374874995	-0.3326108	-0.3752964	0	0.5	0	2.047686	0.9132842	0.5441184
1544374963067	-0.7983631	-0.554426	0	0.5	0	2.047686	1.411784	0.9874341
1544374963093	-0.9558622	-0.5932857	0	0.5	0	2.047686	1.572108	1.175896
1544374980957	-1.312719	-0.786571	0	0.5	0	2.047686	1.976017	1.385248
1544374980983	-1.294384	-0.6290949	0	0.5	0	2.047686	1.901466	1.397753
1544375022072	0.5311758	0.1453977	0	0.5	0	2.047686	0.1487024	0.2124002
1544375027706	0.5300042	0.08811999	0	0.5	0	2.047686	0.09308806	0.1451298
1544375027732	0.5300042	0.08811999	0	0.5	0	2.047686	0.09308806	0.1451298
1544375039481	0.5300042	0.08811999	0	0.5	0	2.047686	0.09308806	0.1451298
1544375045326	0.5288297	0.02968626	0	0.5	0	2.047686	0.04138148	0.07655785
1544375045300	0.5288297	0.02968626	0	0.5	0	2.047686	0.04138148	0.07655785
1544375057135	0.5288297	0.02968626	0	0.5	0	2.047686	0.04138148	0.07655785
1544375051307	0.5288297	0.02968626	0	0.5	0	2.047686	0.04138148	0.07655785
1544375068650	0.5655459	0.06741788	0	0.5	0	2.047686	0.09402894	0.1364493
1544375057109	0.5300042	0.08811999	0	0.5	0	2.047686	0.09308806	0.1451298
1544375062845	0.5288297	0.02968626	0	0.5	0	2.047686	0.04138148	0.07655785
1544375074409	0.5655459	0.06741788	0	0.5	0	2.047686	0.09402894	0.1364493
1544375068624	0.5288297	0.02968626	0	0.5	0	2.047686	0.04138148	0.07655785
1544375074383	0.5642689	0.008419331	0	0.5	0	2.047686	0.06481807	0.0810254
1544375080711	0.5655459	0.06741788	0	0.5	0	2.047686	0.09402894	0.1364493
1544375080685	0.5642689	0.008419331	0	0.5	0	2.047686	0.06481807	0.0810254
1544375144885	0.6639479	0.8794157	0	0.5	0	2.047686	0.8945674	0.7708024
1544375150744	0.6639479	0.8794157	0	0.5	0	2.047686	0.8945674	0.7708024
1544375156634	0.6639479	0.8794157	0	0.5	0	2.047686	0.8945674	0.7708024
1544375162517	0.6024893	0.8763121	0	0.5	0	2.047686	0.8822851	0.7320244
1544375168293	0.6024893	0.8763121	0	0.5	0	2.047686	0.8822851	0.7320244
1544375174323	0.6024893	0.8763121	0	0.5	0	2.047686	0.8822851	0.7320244
1544375180296	0.6024893	0.8763121	0	0.5	0	2.047686	0.8822851	0.7320244
1544375186055	0.6024893	0.8763121	0	0.5	0	2.047686	0.8822851	0.7320244
1544375191997	0.7084908	0.8831299	0	0.5	0	2.047686	0.9074067	0.7872248
1544375198087	0.6024893	0.8763121	0	0.5	0	2.047686	0.8822851	0.7320244
1544375204000	0.6639479	0.8794157	0	0.5	0	2.047686	0.8945674	0.7708024
1544375333266	0.3091407	1.429753	0	0.5	0	2.047686	1.442436	1.372797
1544375333292	0.3691095	1.290476	0	0.5	0	2.047686	1.297097	1.193325
1544375373946	0.55271	1.017563	0	0.5	0	2.047686	1.018928	0.8315209
1544375373972	0.5338692	1.314823	0	0.5	0	2.047686	1.315259	1.216547
1544375397460	0.4088449	1.151287	0	0.5	0	2.047686	1.15489	1.011938
1544375397486	0.3841081	1.463311	0	0.5	0	2.047686	1.467893	1.211953
1544375426870	0.1940907	1.549126	0	0.5	0	2.047686	1.579041	1.443653
1544375426896	0.134466	1.58177	0	0.5	0	2.047686	1.623456	1.478382
1544375432783	0.07743596	1.507649	0	0.5	0	2.047686	1.565747	1.419295
1544375432809	0.07743596	1.507649	0	0.5	0	2.047686	1.565747	1.419295
1544375438818	0.3091407	1.429753	0	0.5	0	2.047686	1.442436	1.372797
1544375438844	0.2500589	1.413521	0	0.5	0	2.047686	1.435449	1.363763
1544375444857	0.1913769	1.413278	0	0.5	0	2.047686	1.446583	1.381497
1544375444882	0.07743596	1.507649	0	0.5	0	2.047686	1.565747	1.419295
1544375674114	-0.5332633	-0.5669171	0	0.5	0	2.047686	1.17857	0.9159932
1544375674141	-0.5738901	-0.5110077	0	0.5	0	2.047686	1.189272	0.9429633
